Method,SeqType,DataSet,Annotation,PangenomeTool,Accessory genes,Core genes,Total genes,N_Gain_Ancs,N_Loss_Ancs,N_Gain_Tips,N_Loss_Tips,Method_V2,N_Events_Ancs,N_Events_Tips
Panaroo_Strict_MergeParalogs,ShortRead,All,PGAP,Panaroo,525,3489,4014,537,818,1472,2652,"Panaroo 
 (Strict & MergeParalogs)",1355,4124
Panaroo_Strict_MergeParalogs,ShortRead,All,Bakta,Panaroo,674,3537,4211,957,1014,2665,3154,"Panaroo 
 (Strict & MergeParalogs)",1971,5819
Panaroo_Strict_MergeParalogs,LongRead,All,PGAP,Panaroo,313,3750,4063,159,553,384,806,"Panaroo 
 (Strict & MergeParalogs)",712,1190
Panaroo_Strict_MergeParalogs,LongRead,All,Bakta,Panaroo,421,3779,4200,207,475,485,743,"Panaroo 
 (Strict & MergeParalogs)",682,1228
Panaroo_Moderate_MergeParalogs,LongRead,All,Bakta,Panaroo,455,3825,4280,262,500,637,800,"Panaroo 
 (Moderate & MergeParalogs)",762,1437
Panaroo_Moderate_MergeParalogs,LongRead,All,PGAP,Panaroo,336,3792,4128,186,590,436,854,"Panaroo 
 (Moderate & MergeParalogs)",776,1290
Panaroo_Moderate_MergeParalogs,ShortRead,All,Bakta,Panaroo,808,3574,4382,1132,1131,3444,3367,"Panaroo 
 (Moderate & MergeParalogs)",2263,6811
Panaroo_Moderate_MergeParalogs,ShortRead,All,PGAP,Panaroo,616,3531,4147,659,936,1837,2890,"Panaroo 
 (Moderate & MergeParalogs)",1595,4727
Panaroo_Sensitive_MergeParalogs,ShortRead,All,PGAP,Panaroo,858,3536,4394,668,944,2091,2913,"Panaroo 
 (Sensitive & MergeParalogs)",1612,5004
Panaroo_Sensitive_MergeParalogs,LongRead,All,Bakta,Panaroo,456,3825,4281,263,500,644,802,"Panaroo 
 (Sensitive & MergeParalogs)",763,1446
Panaroo_Sensitive_MergeParalogs,LongRead,All,PGAP,Panaroo,336,3792,4128,186,590,436,854,"Panaroo 
 (Sensitive & MergeParalogs)",776,1290
Panaroo_Sensitive_MergeParalogs,ShortRead,All,Bakta,Panaroo,1024,3576,4600,1177,1155,3787,3419,"Panaroo 
 (Sensitive & MergeParalogs)",2332,7206
Panaroo_Strict,ShortRead,All,PGAP,Panaroo,544,3489,4033,615,876,1791,2788,"Panaroo 
 (Strict)",1491,4579
Panaroo_Strict,ShortRead,All,Bakta,Panaroo,687,3537,4224,1005,1055,2848,3223,"Panaroo 
 (Strict)",2060,6071
Panaroo_Strict,LongRead,All,PGAP,Panaroo,357,3761,4118,165,584,429,875,"Panaroo 
 (Strict)",749,1304
