Method,SeqType,DataSet,Annotation,PangenomeTool,Accessory genes,Core genes,Total genes,Method_V2
Panaroo_Strict_MergeParalogs,LongRead,All,Bakta,Panaroo,1956,2144,4100,"Panaroo 
 (Strict & MergeParalogs)"
Panaroo_Strict_MergeParalogs,ShortRead,All,Bakta,Panaroo,2011,1780,3791,"Panaroo 
 (Strict & MergeParalogs)"
Panaroo_Moderate_MergeParalogs,LongRead,All,Bakta,Panaroo,1990,2145,4135,"Panaroo 
 (Moderate & MergeParalogs)"
Panaroo_Moderate_MergeParalogs,ShortRead,All,Bakta,Panaroo,2094,1781,3875,"Panaroo 
 (Moderate & MergeParalogs)"
Panaroo_Sensitive_MergeParalogs,LongRead,All,Bakta,Panaroo,2100,2145,4245,"Panaroo 
 (Sensitive & MergeParalogs)"
Panaroo_Sensitive_MergeParalogs,ShortRead,All,Bakta,Panaroo,2519,1781,4300,"Panaroo 
 (Sensitive & MergeParalogs)"
Panaroo_Strict,LongRead,All,Bakta,Panaroo,2266,2143,4409,"Panaroo 
 (Strict)"
Panaroo_Strict,ShortRead,All,Bakta,Panaroo,2041,1779,3820,"Panaroo 
 (Strict)"
Panaroo_Moderate,LongRead,All,Bakta,Panaroo,2301,2144,4445,"Panaroo 
 (Moderate)"
Panaroo_Moderate,ShortRead,All,Bakta,Panaroo,2125,1780,3905,"Panaroo 
 (Moderate)"
Panaroo_Sensitive,LongRead,All,Bakta,Panaroo,2436,2144,4580,"Panaroo 
 (Sensitive)"
Panaroo_Sensitive,ShortRead,All,Bakta,Panaroo,2556,1780,4336,"Panaroo 
 (Sensitive)"
Roary_NoSplitParalogs_I80,ShortRead,All,Bakta,Roary,2281,1742,4023,"Roary 
 (MergeParalogs & I80)"
Roary_NoSplitParalogs_I80,LongRead,All,Bakta,Roary,1875,2134,4009,"Roary 
 (MergeParalogs & I80)"
Roary_NoSplitParalogs_I90,LongRead,All,Bakta,Roary,2266,2092,4358,"Roary 
 (MergeParalogs & I90)"
Roary_NoSplitParalogs_I90,ShortRead,All,Bakta,Roary,2638,1715,4353,"Roary 
 (MergeParalogs & I90)"
