Category	Range	GeneCount	Annotation	Method	SeqType	DataSet	MethodAndTech	MethodAndTechAndAnno	AnnoAndTech	PangenomeTool
Core genes	(99% <= strains <= 100%)	3035	Bakta	Panaroo_Strict_MergeParalogs	LongRead	All	Panaroo_Strict_MergeParalogs_LongRead	Panaroo_Strict_MergeParalogs_LongRead_Bakta	Bakta-LongRead	Panaroo
Total genes	(0% <= strains <= 100%)	14410	Bakta	Panaroo_Strict_MergeParalogs	LongRead	All	Panaroo_Strict_MergeParalogs_LongRead	Panaroo_Strict_MergeParalogs_LongRead_Bakta	Bakta-LongRead	Panaroo
Accessory genes	(0% <= strains < 99%)	11375	Bakta	Panaroo_Strict_MergeParalogs	LongRead	All	Panaroo_Strict_MergeParalogs_LongRead	Panaroo_Strict_MergeParalogs_LongRead_Bakta	Bakta-LongRead	Panaroo
Core genes	(99% <= strains <= 100%)	3036	Bakta	Panaroo_Moderate_MergeParalogs	LongRead	All	Panaroo_Moderate_MergeParalogs_LongRead	Panaroo_Moderate_MergeParalogs_LongRead_Bakta	Bakta-LongRead	Panaroo
Total genes	(0% <= strains <= 100%)	14641	Bakta	Panaroo_Moderate_MergeParalogs	LongRead	All	Panaroo_Moderate_MergeParalogs_LongRead	Panaroo_Moderate_MergeParalogs_LongRead_Bakta	Bakta-LongRead	Panaroo
Accessory genes	(0% <= strains < 99%)	11605	Bakta	Panaroo_Moderate_MergeParalogs	LongRead	All	Panaroo_Moderate_MergeParalogs_LongRead	Panaroo_Moderate_MergeParalogs_LongRead_Bakta	Bakta-LongRead	Panaroo
Core genes	(99% <= strains <= 100%)	3036	Bakta	Panaroo_Sensitive_MergeParalogs	LongRead	All	Panaroo_Sensitive_MergeParalogs_LongRead	Panaroo_Sensitive_MergeParalogs_LongRead_Bakta	Bakta-LongRead	Panaroo
Total genes	(0% <= strains <= 100%)	15032	Bakta	Panaroo_Sensitive_MergeParalogs	LongRead	All	Panaroo_Sensitive_MergeParalogs_LongRead	Panaroo_Sensitive_MergeParalogs_LongRead_Bakta	Bakta-LongRead	Panaroo
Accessory genes	(0% <= strains < 99%)	11996	Bakta	Panaroo_Sensitive_MergeParalogs	LongRead	All	Panaroo_Sensitive_MergeParalogs_LongRead	Panaroo_Sensitive_MergeParalogs_LongRead_Bakta	Bakta-LongRead	Panaroo
Core genes	(99% <= strains <= 100%)	3035	Bakta	Roary_NoSplitParalogs_I80	LongRead	All	Roary_NoSplitParalogs_I80_LongRead	Roary_NoSplitParalogs_I80_LongRead_Bakta	Bakta-LongRead	Roary
