run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	instrument_platform	instrument_model	nominal_length	library_layout	read_count	base_count	study_alias	fastq_bytes	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	bam_ftp
SRR22859702	SAMN32360851	SRX18818535	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	46294	205749631	PRJNA914892	188942850	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/002/SRR22859702/SRR22859702_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/002/SRR22859702	C148	
SRR22859703	SAMN32360850	SRX18818534	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	32389	87157236	PRJNA914892	79890033	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/003/SRR22859703/SRR22859703_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/003/SRR22859703	C318	
SRR22859708	SAMN32360846	SRX18818529	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	42719	139895165	PRJNA914892	128110615	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/008/SRR22859708/SRR22859708_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/008/SRR22859708	C100	
SRR22859712	SAMN32360842	SRX18818525	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	34720	106672085	PRJNA914892	97809656	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/012/SRR22859712/SRR22859712_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/012/SRR22859712	C45	
SRR22859713	SAMN32360841	SRX18818524	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	42851	128697296	PRJNA914892	118142519	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/013/SRR22859713/SRR22859713_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/013/SRR22859713	C72	
SRR22859714	SAMN32360840	SRX18818523	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	43266	198030523	PRJNA914892	181626106	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/014/SRR22859714/SRR22859714_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/014/SRR22859714	C67	
SRR22859719	SAMN32360836	SRX18818518	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	27586	75124438	PRJNA914892	68679093	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/019/SRR22859719/SRR22859719_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/019/SRR22859719	C295	
SRR22859722	SAMN32360971	SRX18818515	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	2032071	613685442	PRJNA914892	174896240;181118464	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/022/SRR22859722/SRR22859722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/022/SRR22859722/SRR22859722_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/022/SRR22859722	C344	
SRR22859727	SAMN32360880	SRX18818510	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	Illumina HiSeq 2000		PAIRED	3809843	952460750	PRJNA914892	306462167;268676355	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/027/SRR22859727/SRR22859727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/027/SRR22859727/SRR22859727_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/027/SRR22859727	C197	
SRR22859728	SAMN32360879	SRX18818509	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1756014	530316228	PRJNA914892	157292883;157554862	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/028/SRR22859728/SRR22859728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/028/SRR22859728/SRR22859728_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/028/SRR22859728	C136	
SRR22859733	SAMN32360950	SRX18818786	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1469153	443684206	PRJNA914892	126387626;129146833	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/033/SRR22859733/SRR22859733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/033/SRR22859733/SRR22859733_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/033/SRR22859733	C891	
SRR22859734	SAMN32360875	SRX18818504	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1472524	444702248	PRJNA914892	134501963;135631983	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/034/SRR22859734/SRR22859734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/034/SRR22859734/SRR22859734_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/034/SRR22859734	C209	
SRR22859737	SAMN32360872	SRX18818501	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1556760	470141520	PRJNA914892	140750515;141217850	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/037/SRR22859737/SRR22859737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/037/SRR22859737/SRR22859737_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/037/SRR22859737	C133	
SRR22859738	SAMN32360871	SRX18818500	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	5733573	1731539046	PRJNA914892	508225008;517811647	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/038/SRR22859738/SRR22859738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/038/SRR22859738/SRR22859738_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/038/SRR22859738	C351	
SRR22859743	SAMN32360824	SRX18818495	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	12226	81774257	PRJNA914892	75060258	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/043/SRR22859743/SRR22859743_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/043/SRR22859743	C53	
SRR22859744	SAMN32360866	SRX18818494	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	2100766	634431332	PRJNA914892	177064533;176464595	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/044/SRR22859744/SRR22859744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/044/SRR22859744/SRR22859744_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/044/SRR22859744	C16	
SRR22859746	SAMN32360864	SRX18818492	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1558271	470597842	PRJNA914892	139062442;140280331	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/046/SRR22859746/SRR22859746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/046/SRR22859746/SRR22859746_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/046/SRR22859746	C188	
SRR22859748	SAMN32360862	SRX18818490	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	Illumina HiSeq 2000		PAIRED	3634664	908666000	PRJNA914892	292819437;263237677	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/048/SRR22859748/SRR22859748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/048/SRR22859748/SRR22859748_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/048/SRR22859748	C255	
SRR22859757	SAMN32360809	SRX18818482	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	Illumina HiSeq 2000		PAIRED	3073970	768492500	PRJNA914892	241676444;222691346	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/057/SRR22859757/SRR22859757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/057/SRR22859757/SRR22859757_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/057/SRR22859757	C164	
SRR22859758	SAMN32360808	SRX18818481	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	Illumina HiSeq 2000		PAIRED	4209193	1052298250	PRJNA914892	305888684;353265279	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/058/SRR22859758/SRR22859758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/058/SRR22859758/SRR22859758_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/058/SRR22859758	C152	
SRR22859761	SAMN32360806	SRX18818478	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	Illumina HiSeq 2000		PAIRED	3774529	943632250	PRJNA914892	301230786;285891601	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/061/SRR22859761/SRR22859761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/061/SRR22859761/SRR22859761_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/061/SRR22859761	C143	
SRR22859766	SAMN32360801	SRX18818473	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	Illumina HiSeq 2000		PAIRED	3887350	971837500	PRJNA914892	302390893;288668415	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/066/SRR22859766/SRR22859766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/066/SRR22859766/SRR22859766_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/066/SRR22859766	C10	
SRR22859767	SAMN32360800	SRX18818472	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	Illumina HiSeq 2000		PAIRED	3459436	864859000	PRJNA914892	279875296;261020705	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/067/SRR22859767/SRR22859767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/067/SRR22859767/SRR22859767_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/067/SRR22859767	C1	
SRR22859769	SAMN32360971	SRX18818470	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	66555	346559609	PRJNA914892	316923588	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/069/SRR22859769/SRR22859769_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/069/SRR22859769	C344	
SRR22859770	SAMN32360970	SRX18818469	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	49525	269755496	PRJNA914892	246122129	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/070/SRR22859770/SRR22859770_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/070/SRR22859770	C272	
SRR22859771	SAMN32360817	SRX18818468	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	57777	174325778	PRJNA914892	159671321	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/071/SRR22859771/SRR22859771_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/071/SRR22859771	C270	
SRR22859775	SAMN32360966	SRX18818464	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	75492	183933331	PRJNA914892	168464789	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/075/SRR22859775/SRR22859775_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/075/SRR22859775	C913	
SRR22859777	SAMN32360898	SRX18818462	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	35847	149583678	PRJNA914892	137493794	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/077/SRR22859777/SRR22859777_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/077/SRR22859777	C311	
SRR22859781	SAMN32360834	SRX18818458	PRJNA914892	1280	Staphylococcus aureus	OXFORD_NANOPORE	MinION		SINGLE	17630	71553393	PRJNA914892	65684645	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/081/SRR22859781/SRR22859781_1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/081/SRR22859781	C13	
SRR22859783	SAMN32360965	SRX18818456	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1374448	415083296	PRJNA914892	137334497;148102171	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/083/SRR22859783/SRR22859783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/083/SRR22859783/SRR22859783_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/083/SRR22859783	C912	
SRR22859788	SAMN32360960	SRX18818451	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1857019	560819738	PRJNA914892	156721278;160677202	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/088/SRR22859788/SRR22859788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/088/SRR22859788/SRR22859788_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/088/SRR22859788	C908	
SRR22859789	SAMN32360959	SRX18818450	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1677622	506641844	PRJNA914892	142792574;146344588	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/089/SRR22859789/SRR22859789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/089/SRR22859789/SRR22859789_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/089/SRR22859789	C907	
SRR22859795	SAMN32360954	SRX18818444	PRJNA914892	1280	Staphylococcus aureus	ILLUMINA	NextSeq 550		PAIRED	1348053	407112006	PRJNA914892	117922590;119362606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/095/SRR22859795/SRR22859795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR228/095/SRR22859795/SRR22859795_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR228/095/SRR22859795	C901	
