Sample,Gess_plus_Time,GESS_ID,Timepoint,Same_Strain
C100,276_T0,276,T0,No
C364,276_T1,276,T1,No
C22,420_T0,420,T0,Yes
C320,420_T1,420,T1,Yes
C235,539_T0,539,T0,No
C318,539_T1,539,T1,No
C79,1170_T0,1170,T0,No
C148,1170_T1,1170,T1,No
C265,1415_T0,1415,T0,Yes
C324,1415_T1,1415,T1,Yes
C13,1676_T0,1676,T0,Yes
C76,1676_T1,1676,T1,Yes
C80,1992_T0,1992,T0,Yes
C208,1992_T1,1992,T1,Yes
C240,2911_T0,2911,T0,No
C295,2911_T1,2911,T1,No
C52,3344_T0,3344,T0,Yes
C113,3344_T1,3344,T1,Yes
C24,3357_T0,3357,T0,No
C195,3357_T1,3357,T1,No
C9,3997_T0,3997,T0,Yes
C353,3997_T1,3997,T1,Yes
C121,4009_T0,4009,T0,No
C255,4009_T1,4009,T1,No
C3,4681_T0,4681,T0,Yes
C56,4681_T1,4681,T1,Yes
C32,4747_T0,4747,T0,No
C188,4747_T1,4747,T1,No
C16,4784_T0,4784,T0,No
C70,4784_T1,4784,T1,No
C67,4875_T0,4875,T0,Yes
C294,4875_T1,4875,T1,Yes
C21,4986_T0,4986,T0,No
C273,4986_T1,4986,T1,No
C72,5047_T0,5047,T0,Yes
C351,5047_T1,5047,T1,Yes
C133,5060_T0,5060,T0,Yes
C179,5060_T1,5060,T1,Yes
C45,5142_T0,5142,T0,Yes
C149,5142_T1,5142,T1,Yes
C91,5308_T0,5308,T0,No
C209,5308_T1,5308,T1,No
C206,5328_T0,5328,T0,No
C276,5328_T1,5328,T1,No
C136,5390_T0,5390,T0,No
C197,5390_T1,5390,T1,No
C155,5448_T0,5448,T0,No
C339,5448_T1,5448,T1,No
C196,5469_T0,5469,T0,No
C342,5469_T1,5469,T1,No
C183,5485_T0,5485,T0,No
C312,5485_T1,5485,T1,No
C182,5503_T0,5503,T0,No
C233,5503_T1,5503,T1,No
C224,5519_T0,5519,T0,Yes
C349,5519_T1,5519,T1,Yes
C222,5562_T0,5562,T0,Yes
C333,5562_T1,5562,T1,Yes
C245,5631_T0,5631,T0,No
C314,5631_T1,5631,T1,No
C285,5647_T0,5647,T0,No
C355,5647_T1,5647,T1,No
C241,5728_T0,5728,T0,Yes
C309,5728_T1,5728,T1,Yes
C325,5767_T0,5767,T0,No
C363,5767_T1,5767,T1,No
C311,5911_T0,5911,T0,No
C357,5911_T1,5911,T1,No
