study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	read_count	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_md5	fastq_ftp	sample_alias
PRJNA720906	SAMN18521319	SRX10563666	SRR14196814	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	MinION	9689-04_LR	SINGLE	WGS	GENOMIC	RANDOM	2643347	MinION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	9689-04_LR	9689-04.fastq	3c038d2a55fa366f98ccfcb2b47e5914	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/014/SRR14196814/SRR14196814_1.fastq.gz	9689-04
PRJNA720906	SAMN18521319	SRX10563665	SRR14196815	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	9689-04_SR	PAIRED	WGS	GENOMIC	RANDOM	1970572	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	9689-04_SR	9689-04.R1.fastq	551aca593df42c3664d8a1db739498d9;d9135d7a57f3f60a6b33b752977ec113	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/015/SRR14196815/SRR14196815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/015/SRR14196815/SRR14196815_2.fastq.gz	9689-04
PRJNA720906	SAMN18521318	SRX10563664	SRR14196816	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	GridION	9050-05_LR	SINGLE	WGS	GENOMIC	RANDOM	605947	GridION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	9050-05_LR	9050-05.fastq	fd24d7b976797618008e9fa35facf0c8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/016/SRR14196816/SRR14196816_1.fastq.gz	9050-05
PRJNA720906	SAMN18521318	SRX10563663	SRR14196817	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	9050-05_SR	PAIRED	WGS	GENOMIC	RANDOM	2601695	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	9050-05_SR	9050-05.R1.fastq	6dfcebcef0dcd8a630c0016d91902fc9;c0226c2766c2aacf0431db9c07f7d92e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/017/SRR14196817/SRR14196817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/017/SRR14196817/SRR14196817_2.fastq.gz	9050-05
PRJNA720906	SAMN18521317	SRX10563662	SRR14196818	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	GridION	8644-04_LR	SINGLE	WGS	GENOMIC	RANDOM	398498	GridION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	8644-04_LR	8644-04.fastq	d31421b309bef2c7a67adc0cfb748e79	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/018/SRR14196818/SRR14196818_1.fastq.gz	8644-04
PRJNA720906	SAMN18521339	SRX10563661	SRR14196819	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	MinION	QC-10_LR	SINGLE	WGS	GENOMIC	RANDOM	40875	MinION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-10_LR	QC-10.fastq	5e7c3fdc4e44a7cb6cfdedc2fae245b3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/019/SRR14196819/SRR14196819_1.fastq.gz	QC-10
PRJNA720906	SAMN18521339	SRX10563660	SRR14196820	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	QC-10_SR	PAIRED	WGS	GENOMIC	RANDOM	1784219	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-10_SR	QC-10.R1.fastq	ff5a4ddd3455c9a700ca1cd717e57dbf;83ec562ee1a4c8f140a491b34da4e95e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/020/SRR14196820/SRR14196820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/020/SRR14196820/SRR14196820_2.fastq.gz	QC-10
PRJNA720906	SAMN18521338	SRX10563659	SRR14196821	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	MinION	QC-9_LR	SINGLE	WGS	GENOMIC	RANDOM	93101	MinION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-9_LR	QC-9.fastq	394329a5a57e107ea82771455870d20b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/021/SRR14196821/SRR14196821_1.fastq.gz	QC-9
PRJNA720906	SAMN18521338	SRX10563658	SRR14196822	1494075	Mycobacterium tuberculosis complex sp.	ILLUMINA	NextSeq 500	QC-9_SR	PAIRED	WGS	GENOMIC	RANDOM	2214783	NextSeq 500 sequencing; Whole-genome short-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-9_SR	QC-9.R1.fastq	83b81f6e0e360fa0b4454dd46f1d1588;58f22ba6ee2dd13cd7c5f90089ddaf7c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/022/SRR14196822/SRR14196822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/022/SRR14196822/SRR14196822_2.fastq.gz	QC-9
PRJNA720906	SAMN18521337	SRX10563657	SRR14196823	1494075	Mycobacterium tuberculosis complex sp.	OXFORD_NANOPORE	MinION	QC-8_LR	SINGLE	WGS	GENOMIC	RANDOM	46129	MinION sequencing; Whole-genome long-read sequencing of M. tuberculosis	Short- and long-read whole-genome sequencing of Mycobacterium tuberculosis	PRJNA720906	QC-8_LR	QC-8.fastq	72fdb68d6ecbc9d0f3c1d66a130295c5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/023/SRR14196823/SRR14196823_1.fastq.gz	QC-8
