Query	Ref	ANI	Bidirect_FragMap	Total_Query_Frags
N0072	N0072	100.0	1473	1473
N0072	mada_118	99.9727	1470	1473
N0072	mada_1-51	99.9712	1472	1473
N0072	mada_122	99.9709	1469	1473
N0072	mada_1-1	99.9703	1469	1473
N0072	mada_117	99.9696	1465	1473
N0072	mada_2-46	99.9694	1469	1473
N0072	mada_1-44	99.9693	1471	1473
N0072	mada_1-36	99.9677	1471	1473
N0072	mada_107	99.9662	1470	1473
N0072	mada_1-10	99.9652	1473	1473
N0072	mada_1-39	99.9641	1471	1473
N0072	R23887	99.9508	1467	1473
N0072	N0153	99.9466	1461	1473
N0072	R27252	99.9456	1469	1473
N0072	M0017522_5	99.9156	1457	1473
N0072	S0106-01	99.9082	1462	1473
N0072	R30396	99.9047	1457	1473
N0072	R20896	99.9045	1458	1473
N0072	R21770	99.9038	1459	1473
N0072	mada_1-32	99.9034	1462	1473
N0072	M0011368_9	99.9018	1456	1473
N0072	N1202	99.901	1455	1473
N0072	mada_112	99.9006	1453	1473
N0072	TB2968	99.9005	1452	1473
N0072	TB4620	99.8994	1459	1473
N0072	mada_105	99.899	1459	1473
N0072	02_R1708	99.8988	1458	1473
N0072	01_R1430	99.8987	1455	1473
N0072	TB3251	99.8983	1464	1473
N0072	M0016737_0	99.8981	1461	1473
N0072	mada_129	99.8979	1462	1473
N0072	M0014888_3	99.8979	1456	1473
N0072	TB3334	99.8973	1464	1473
N0072	N1274	99.897	1462	1473
N0072	mada_124	99.8967	1453	1473
N0072	mada_103	99.8965	1458	1473
N0072	TB3054	99.8935	1457	1473
N0072	mada_2-53	99.8927	1457	1473
N0072	mada_1-12	99.8927	1456	1473
N0072	mada_1-53	99.8927	1456	1473
N0072	mada_1-50	99.8926	1457	1473
N0072	QC-5	99.892	1460	1473
N0072	QC-3	99.8919	1460	1473
N0072	01_R1134	99.891	1456	1473
N0072	mada_2-1	99.8909	1455	1473
N0072	mada_128	99.8908	1456	1473
N0072	QC-9	99.8906	1459	1473
N0072	TB3237	99.8904	1454	1473
N0072	02_R1896	99.8897	1454	1473
N0072	MT_0080	99.889	1463	1473
N0072	02_R0894	99.889	1460	1473
N0072	N0004	99.8887	1457	1473
N0072	mada_1-15	99.8875	1459	1473
N0072	S0123-01	99.8866	1452	1473
N0072	S0262-02	99.8866	1452	1473
N0072	N1177	99.8839	1457	1473
N0072	N0054	99.8839	1461	1473
N0072	N0091	99.8831	1452	1473
N0072	mada_1-38	99.8821	1457	1473
N0072	mada_1-30	99.8818	1459	1473
N0072	TB3169	99.8818	1461	1473
N0072	N1272	99.881	1454	1473
N0072	mada_126	99.8805	1448	1473
N0072	mada_120	99.8792	1449	1473
N0072	N1176	99.8783	1467	1473
N0072	R21839	99.8765	1459	1473
N0072	mada_1-41	99.8738	1467	1473
N0072	mada_151	99.8722	1455	1473
