SampleID_1	SampleID_2	Mash_JS
N0072	N0153	0.9772939409696075
N0072	TB3113	0.9535777551515282
N0072	TB1236	0.9530457416312582
N0072	TB2659	0.9534459561612592
N0072	TB2780	0.9541364769596374
N0072	TB1612	0.952406489918072
N0072	TB2512	0.9535948262228667
N0072	TB2981	0.9537392989823938
N0072	TB3091	0.9533515673555657
N0072	M0003941_3	0.9538233019360558
N0072	TB3368	0.9524716300180642
N0072	N0145	0.9534197577427133
N0072	N0155	0.9543629248497244
N0072	TB2995	0.9530687774563642
N0072	TB3396	0.9530535800775803
N0072	N0004	0.9575556063528069
N0072	N1274	0.9610875702412296
N0072	N0054	0.9577304447170683
N0072	02_R1179	0.954636794460377
N0072	01_R1134	0.9567580902509345
N0072	M0017522_5	0.9598142927102752
N0072	M0016395_7	0.957824280029936
N0072	M0010874_7	0.9550300957220672
N0072	02_R1708	0.959699200303252
N0072	02_R0894	0.9588476848706705
N0072	01_R1430	0.9571814211703682
N0072	M0014888_3	0.9574191808831543
N0072	02_R1896	0.9564553948181168
N0072	TB4620	0.9582058311139681
N0072	TB3162	0.9548463600534118
N0072	MT_0080	0.9607417787713523
N0072	TB3054	0.9590823570262108
N0072	TB3251	0.9604399084690365
N0072	M0016737_0	0.9611384831717947
N0072	TB2661	0.9531718494712462
N0072	TB3237	0.9572635735191024
N0072	TB3169	0.9581392214560075
N0072	TB3386	0.9528788116108411
N0072	TB3334	0.962060447018979
N0072	M0011368_9	0.9571709234674293
N0072	TB2968	0.9575767630085572
N0072	N1272	0.95612018041188
N0072	N1176	0.9580838108529162
N0072	N1202	0.9540024877838856
N0072	N1177	0.9531869422079445
N0072	N0091	0.9523598035253144
N0072	RW-TB008	0.9441824364149061
N0072	9050-05	0.9524076164138917
N0072	4549-04	0.9513918257620836
N0072	696-05	0.9519186729883744
N0072	702-06	0.9520973495929418
N0072	706-05	0.9523507327518185
N0072	8129-04	0.953182507788602
N0072	3003-06	0.9523674773479303
N0072	8651-04	0.9514947135309847
N0072	QC-3	0.957494503473939
N0072	QC-9	0.9570297542879228
N0072	QC-5	0.9575246528332146
N0072	QC-8	0.9578765346705862
N0072	QC-10	0.9575388930438767
N0072	QC-4	0.9579990446059427
N0072	QC-7	0.9547968637608036
N0072	QC-6	0.9547478667059822
N0072	QC-1	0.9549619309192579
N0072	mada_1-10	0.9879478903689366
N0072	mada_2-46	0.9861089183105846
N0072	mada_1-1	0.9868881584306566
N0072	mada_1-36	0.9879645088173876
N0072	mada_1-39	0.9867030072913269
N0072	mada_1-51	0.9885438642521642
N0072	mada_1-44	0.987346036736212
N0072	mada_117	0.9853686288443717
N0072	mada_118	0.9890392126514744
N0072	mada_122	0.9879518867179777
N0072	mada_107	0.9865503712133036
N0072	R27252	0.9785465909471548
N0072	R23887	0.9801789991290463
N0072	R30215	0.9538579668460548
N0072	R30078	0.9537223362604473
N0072	R29816	0.9535197688659284
N0072	R30234	0.9537123429864359
N0072	18_0621851	0.9529264221550169
N0072	R36431	0.9539333416328238
N0072	R28703	0.9534751094223786
N0072	mada_115	0.9531857104203115
N0072	mada_2-42	0.9535168616933096
N0072	R31095	0.953683291664863
N0072	R28012	0.9537226914221824
N0072	R37765	0.9539717530123104
N0072	R27657	0.9537537832553019
N0072	R25048	0.9525029892682411
N0072	R24120	0.9535969469969989
N0072	R28581	0.9532941734646838
N0072	R29598	0.9533635725497789
N0072	mada_1-11	0.9538211718546102
N0072	R24100	0.9532664744813025
N0072	R21408	0.9528008204535684
N0072	R20574	0.9529108884333062
N0072	R20260	0.9529615310256165
N0072	R18043	0.9525428009807948
N0072	R22601	0.9524854591499127
N0072	R23146	0.9523020844805307
N0072	R32929	0.9531139775655714
N0072	R21893	0.9522116685751141
N0072	R30420	0.9529309545148299
N0072	R26778	0.9524881955602926
N0072	R26791	0.9530585464333782
N0072	R28980	0.9523182560095353
N0072	R27725	0.9529748936396428
N0072	R18040	0.9526138761871262
N0072	R27937	0.9525496286084025
N0072	mada_1-30	0.9574421937280848
N0072	mada_2-31	0.9593902648931274
N0072	mada_1-41	0.9594141005889739
N0072	R21770	0.9590387297789346
N0072	R21839	0.9567938097716202
N0072	mada_1-32	0.9597395974498676
N0072	R30396	0.958810390666696
N0072	R21363	0.9569076775569314
N0072	R20896	0.9591164050666099
N0072	mada_102	0.9574457523245795
N0072	mada_129	0.9593529097699421
N0072	mada_139	0.9582043326267355
N0072	mada_151	0.9562035727812995
N0072	mada_105	0.9589236339719351
N0072	R15311	0.9574498655140604
N0072	mada_103	0.9577706445435136
N0072	mada_2-25	0.9547953391230641
N0072	mada_112	0.9577181788081328
N0072	mada_124	0.956444607161557
N0072	mada_126	0.9528518992521943
N0072	mada_120	0.9525949904443131
N0072	R23571	0.955098391628055
N0072	mada_128	0.9565449611997762
N0072	mada_1-12	0.9556294060397985
N0072	mada_1-15	0.9580747941148882
N0072	mada_2-1	0.9538311356283201
N0072	mada_1-53	0.955670274599044
N0072	mada_1-50	0.9556144170300545
N0072	mada_123	0.9529362572012637
N0072	mada_2-53	0.9556746764170554
N0072	mada_1-38	0.9578589680820233
N0072	S0070-08	0.9538039772319442
N0072	S0085-01	0.9535352025962184
N0072	S0107-01	0.9538391321264974
N0072	S0089-01	0.953739373700426
N0072	S0256-08	0.9524806145893164
N0072	S0123-01	0.9559341124733511
N0072	S0106-01	0.9599388867444459
N0072	S0262-02	0.9559301595784694
N0153	N0072	0.9772939409696075
N0153	TB3113	0.9510093454749244
N0153	TB1236	0.9504936403474257
N0153	TB2659	0.9508807887463054
N0153	TB2780	0.951391848938892
N0153	TB1612	0.9496446697768414
N0153	TB2512	0.9510202686382819
N0153	TB2981	0.9511710522320671
N0153	TB3091	0.9505858283783309
N0153	M0003941_3	0.9510941606166038
N0153	TB3368	0.9499188372656817
N0153	N0145	0.9510197948127755
N0153	N0155	0.9516072105429503
N0153	TB2995	0.9505036976649391
N0153	TB3396	0.9502875494775579
N0153	N0004	0.9505801879605698
N0153	N1274	0.9543007802584972
N0153	N0054	0.9508856854410274
N0153	02_R1179	0.9521475084985501
N0153	01_R1134	0.9499013102495873
N0153	M0017522_5	0.9539783466096886
N0153	M0016395_7	0.9552965582459259
N0153	M0010874_7	0.956807899190832
N0153	02_R1708	0.9527419430922981
N0153	02_R0894	0.9519094620456271
N0153	01_R1430	0.9508297736837908
N0153	M0014888_3	0.9500492453871915
N0153	02_R1896	0.949583151963222
N0153	TB4620	0.9522771003309638
N0153	TB3162	0.9523380135385624
N0153	MT_0080	0.9537759552197124
N0153	TB3054	0.9521984549794381
N0153	TB3251	0.9540347978578269
N0153	M0016737_0	0.9546581748587413
N0153	TB2661	0.9508425585155398
N0153	TB3237	0.9509371711879597
N0153	TB3169	0.9507716209543757
N0153	TB3386	0.9506319817364995
N0153	TB3334	0.9549617943408008
N0153	M0011368_9	0.950298356355087
N0153	TB2968	0.951193489290627
N0153	N1272	0.9495130137067737
N0153	N1176	0.9513642657679756
N0153	N1202	0.9519300533910414
N0153	N1177	0.9508842593551327
N0153	N0091	0.9502333794893849
N0153	RW-TB008	0.9403739144345457
N0153	9050-05	0.9496814486225331
N0153	4549-04	0.9486800600319931
N0153	696-05	0.9492034511610283
N0153	702-06	0.9493937689889677
N0153	706-05	0.9498646588287752
N0153	8129-04	0.9504948536523906
N0153	3003-06	0.949651521969873
N0153	8651-04	0.9490587726345714
N0153	QC-3	0.9505569251549744
N0153	QC-9	0.9500779030665194
N0153	QC-5	0.9505899795994127
N0153	QC-8	0.9543257027230405
N0153	QC-10	0.9539617213103874
N0153	QC-4	0.9544442664093359
N0153	QC-7	0.9514032051612102
N0153	QC-6	0.9523615385082682
N0153	QC-1	0.9525629944144236
N0153	mada_1-10	0.9761975680854349
N0153	mada_2-46	0.9743479551918404
N0153	mada_1-1	0.9778262897166236
N0153	mada_1-36	0.9762328151372802
N0153	mada_1-39	0.9748900922299156
N0153	mada_1-51	0.9767790985090963
N0153	mada_1-44	0.9759451014476169
N0153	mada_117	0.9736716714576185
N0153	mada_118	0.9768580410177756
N0153	mada_122	0.9765407014764866
N0153	mada_107	0.9748249490659788
N0153	R27252	0.9719697465466015
N0153	R23887	0.9729916182683501
N0153	R30215	0.9513192220503041
N0153	R30078	0.9511173460714802
N0153	R29816	0.9509983483397735
N0153	R30234	0.951130134060073
N0153	18_0621851	0.9498801466123991
N0153	R36431	0.9513439850680819
N0153	R28703	0.9508978907161789
N0153	mada_115	0.9504105112470298
N0153	mada_2-42	0.9507490134736073
N0153	R31095	0.9511041236445794
N0153	R28012	0.9511234002098351
N0153	R37765	0.9507720366655572
N0153	R27657	0.9511317139618567
N0153	R25048	0.9499501135908028
N0153	R24120	0.9510102278529738
N0153	R28581	0.95073416681866
N0153	R29598	0.9508202841840555
N0153	mada_1-11	0.9511403949037622
N0153	R24100	0.9507169573185555
N0153	R21408	0.9505915396672266
N0153	R20574	0.9507022282712463
N0153	R20260	0.9507770628210587
N0153	R18043	0.9502976741403281
N0153	R22601	0.9502433044876661
N0153	R23146	0.9500700590385156
N0153	R32929	0.9508634892003405
N0153	R21893	0.949960502234384
N0153	R30420	0.9506924804076081
N0153	R26778	0.9503168494263514
N0153	R26791	0.9508257782910066
N0153	R28980	0.9501218227736727
N0153	R27725	0.9507968407521826
N0153	R18040	0.9503473483549173
N0153	R27937	0.9503422196400266
N0153	mada_1-30	0.9502541145697214
N0153	mada_2-31	0.9569663338731019
N0153	mada_1-41	0.9570012159044988
N0153	R21770	0.9526618045886807
N0153	R21839	0.9543405317450474
N0153	mada_1-32	0.9533038942854485
N0153	R30396	0.9525235806683435
N0153	R21363	0.9544750873860268
N0153	R20896	0.9527454322156708
N0153	mada_102	0.9542909435550863
N0153	mada_129	0.9520768696634357
N0153	mada_139	0.9557529597682317
N0153	mada_151	0.9528960056771005
N0153	mada_105	0.9515392009719117
N0153	R15311	0.9546723492013268
N0153	mada_103	0.9513449565225399
N0153	mada_2-25	0.9522453324451327
N0153	mada_112	0.9513348188987095
N0153	mada_124	0.9500435906483469
N0153	mada_126	0.9500758997987563
N0153	mada_120	0.9502290958352536
N0153	R23571	0.952996347013262
N0153	mada_128	0.9500843360400502
N0153	mada_1-12	0.9497665934322672
N0153	mada_1-15	0.9516024299599258
N0153	mada_2-1	0.9478891454571063
N0153	mada_1-53	0.9493343301607384
