study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	read_count	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_md5	fastq_ftp	submitted_md5	submitted_ftp	submitted_format	sample_alias
PRJEB49093	SAMEA13188784	ERS10792321	ERX8573658	ERR9030248	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION		SINGLE	WGS	GENOMIC	unspecified	101725	MinION sequencing; Raw reads: R24120-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-R24120-nanopore	webin-reads-R24120-nanopore	5430081f75a5bf737e11f03bc80618f1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/008/ERR9030248/ERR9030248.fastq.gz	c48d3b4c4fb20efb206b05cc181a5274	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030248/R24120.subsampled.fastq.gz	FASTQ	R24120
PRJEB49093	SAMEA13188702	ERS10792239	ERX8573659	ERR9030249	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION		SINGLE	WGS	GENOMIC	unspecified	88173	MinION sequencing; Raw reads: mada_123-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_123-nanopore	webin-reads-mada_123-nanopore	0d94555e65c128ff5908196f10050c06	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/009/ERR9030249/ERR9030249.fastq.gz	a8090bd91b7a40f8e0f20ee82526d02f	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030249/mada_123.subsampled.fastq.gz	FASTQ	mada_123
PRJEB49093	SAMEA13188660	ERS10792197	ERX8573661	ERR9030251	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina HiSeq 2500		PAIRED	WGS	GENOMIC	unspecified	1764614	Illumina HiSeq 2500 sequencing; Raw reads: mada_1-28-illumina	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_1-28-illumina	webin-reads-mada_1-28-illumina	aa27881856a2c42376921f51f62297cf;1065a314a357b629f65729808283f300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/001/ERR9030251/ERR9030251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/001/ERR9030251/ERR9030251_2.fastq.gz	a951f4a0841762f97222cb77a1c4a3e8;06054e07bf65ff0f9dc0c7339706a25a	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030251/mada_1-28.subsampled.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030251/mada_1-28.subsampled.R2.fastq.gz	FASTQ;FASTQ	mada_1-28
PRJEB49093	SAMEA13188661	ERS10792198	ERX8573662	ERR9030252	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION		SINGLE	WGS	GENOMIC	unspecified	147997	MinION sequencing; Raw reads: mada_135-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_135-nanopore	webin-reads-mada_135-nanopore	425cfece7b58838abee173b547b80b42	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/002/ERR9030252/ERR9030252.fastq.gz	5280fef597c9cf3b35d27535b12fc2b4	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030252/mada_135.subsampled.fastq.gz	FASTQ	mada_135
PRJEB49093	SAMEA13188780	ERS10792317	ERX8573663	ERR9030253	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION		SINGLE	WGS	GENOMIC	unspecified	223986	MinION sequencing; Raw reads: R32929-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-R32929-nanopore	webin-reads-R32929-nanopore	dab821ee8f5e46778e84b8654d8371f8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/003/ERR9030253/ERR9030253.fastq.gz	96d9ea32c19874bed0d420719373e91b	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030253/R32929.subsampled.fastq.gz	FASTQ	R32929
PRJEB49093	SAMEA13188719	ERS10792256	ERX8573664	ERR9030254	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION		SINGLE	WGS	GENOMIC	unspecified	176778	MinION sequencing; Raw reads: mada_118-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_118-nanopore	webin-reads-mada_118-nanopore	0af4b99771923aa76d12d55e1ec1444c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/004/ERR9030254/ERR9030254.fastq.gz	b61e5582597a425cae4ac5029ab29211	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030254/mada_118.subsampled.fastq.gz	FASTQ	mada_118
PRJEB49093	SAMEA13188670	ERS10792207	ERX8573665	ERR9030255	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION		SINGLE	WGS	GENOMIC	unspecified	171809	MinION sequencing; Raw reads: mada_107-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_107-nanopore	webin-reads-mada_107-nanopore	d4072c86ff8893f08b4c58b1f7be8916	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/005/ERR9030255/ERR9030255.fastq.gz	2069a3f25024d5c433e09a7d63ab66ec	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030255/mada_107.subsampled.fastq.gz	FASTQ	mada_107
PRJEB49093	SAMEA13188722	ERS10792259	ERX8573666	ERR9030256	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina HiSeq 2500		PAIRED	WGS	GENOMIC	unspecified	1764614	Illumina HiSeq 2500 sequencing; Raw reads: mada_1-11-illumina	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_1-11-illumina	webin-reads-mada_1-11-illumina	570ea9b4b0edded9f1bc7c4ed8e10843;0502bc9393e4e9abe37b4334eb456f6c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/006/ERR9030256/ERR9030256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/006/ERR9030256/ERR9030256_2.fastq.gz	89b2a8d30de4b8e550c409d799faf6dd;0099b0ad92abb814514453b8a10e55d7	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030256/mada_1-11.subsampled.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030256/mada_1-11.subsampled.R2.fastq.gz	FASTQ;FASTQ	mada_1-11
PRJEB49093	SAMEA13188689	ERS10792226	ERX8573668	ERR9030258	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION		SINGLE	WGS	GENOMIC	unspecified	85413	MinION sequencing; Raw reads: mada_132-nanopore	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_132-nanopore	webin-reads-mada_132-nanopore	cb479df2e1d9cb4221c9c78a3fd7ce20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/008/ERR9030258/ERR9030258.fastq.gz	9f1037bef1c8a3dbd68631b9e055a1b5	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030258/mada_132.subsampled.fastq.gz	FASTQ	mada_132
PRJEB49093	SAMEA13188674	ERS10792211	ERX8573672	ERR9030262	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina HiSeq 2500		PAIRED	WGS	GENOMIC	unspecified	1752928	Illumina HiSeq 2500 sequencing; Raw reads: mada_130-illumina	Nanopore sequencing for Mycobacterium tuberculosis drug susceptibility testing and  outbreak investigations	aba2460d-cbbc-403e-8d67-643455ee5012	webin-reads-mada_130-illumina	webin-reads-mada_130-illumina	75b645fa2dadebe6c7537fc4b14bcdd8;979c5863bd782445991cc3ddef7862f3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/002/ERR9030262/ERR9030262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR903/002/ERR9030262/ERR9030262_2.fastq.gz	5e4c07586e38681889c24adc43d3ec66;8c9c1d881fa9881cb99f9aac43b3b509	ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030262/mada_130.subsampled.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR903/ERR9030262/mada_130.subsampled.R2.fastq.gz	FASTQ;FASTQ	mada_130
