Query	Ref	ANI	Bidirect_FragMap	Total_Query_Frags
GCA_014109125	GCA_014109125	100.0	1648	1650
GCA_014109125	GCA_013923405	99.9987	1646	1650
GCA_014109125	GCA_014109065	99.9982	1646	1650
GCA_014109125	GCA_013821965	99.4979	1482	1650
GCA_014109125	GCA_013750375	98.4922	1447	1650
GCA_014109125	GCA_013898935	98.4647	1480	1650
GCA_014109125	GCA_013899205	98.4646	1479	1650
GCA_014109125	GCA_013894775	98.4532	1471	1650
GCA_014109125	GCA_013899665	98.4217	1440	1650
GCA_014109125	GCA_013895455	98.4082	1437	1650
GCA_014109125	GCA_013713325	98.3963	1469	1650
GCA_014109125	GCA_013752295	98.3942	1462	1650
GCA_014109125	GCA_013712565	98.3846	1472	1650
GCA_014109125	GCA_013783465	98.376	1430	1650
GCA_014109125	GCA_013819985	98.3627	1454	1650
GCA_014109125	GCA_013891895	98.3313	1454	1650
GCA_014109125	GCA_013752075	98.2837	1483	1650
GCA_014109125	GCA_013817865	97.9366	1408	1650
GCA_014109125	GCA_013886475	97.7963	1441	1650
GCA_014109125	GCA_013835405	97.7914	1425	1650
GCA_014109125	GCA_013806925	97.7549	1426	1650
GCA_014109125	GCA_013806525	97.7548	1426	1650
GCA_014109125	GCA_013806085	97.7545	1426	1650
GCA_014109125	GCA_013786125	97.2744	1427	1650
GCA_014109125	GCA_013898775	97.1879	1399	1650
GCA_014109125	GCA_013898995	97.1878	1399	1650
GCA_014109125	GCA_013830785	97.1849	1413	1650
GCA_014109125	GCA_014103195	97.171	1396	1650
GCA_014109125	GCA_013897665	97.1649	1424	1650
GCA_014109125	GCA_013897255	97.1614	1425	1650
GCA_014109125	GCA_013896515	97.1603	1430	1650
GCA_014109125	GCA_013896775	97.1602	1424	1650
GCA_014109125	GCA_013728735	97.1563	1458	1650
GCA_014109125	GCA_013800125	97.1049	1389	1650
GCA_014109125	GCA_013836945	97.084	1418	1650
GCA_014109125	GCA_013900245	97.082	1418	1650
GCA_014109125	GCA_013823125	97.0672	1431	1650
GCA_014109125	GCA_013602835	97.0387	1384	1650
GCA_014109125	GCA_013790245	96.9684	1440	1650
GCA_014109125	GCA_013782445	96.7419	1365	1650
GCA_014109125	GCA_013924285	96.7335	1367	1650
GCA_014109125	GCA_013796065	96.6553	1386	1650
GCA_014109125	GCA_013928845	96.6356	1369	1650
GCA_014109125	GCA_013894235	92.3717	1257	1650
GCA_014109125	GCA_013817505	92.3199	1266	1650
GCA_014109125	GCA_013745515	91.3437	1282	1650
GCA_014109125	GCA_014103665	91.2963	1276	1650
GCA_014109125	GCA_013746655	91.1826	1298	1650
GCA_014109125	GCA_014103465	91.1531	1290	1650
GCA_014109125	GCA_013732895	91.1001	1299	1650
GCA_014109065	GCA_014109065	100.0	1647	1649
GCA_014109065	GCA_013923405	99.9992	1645	1649
GCA_014109065	GCA_014109125	99.9983	1645	1649
GCA_014109065	GCA_013821965	99.5048	1481	1649
GCA_014109065	GCA_013750375	98.4908	1453	1649
GCA_014109065	GCA_013899665	98.4335	1439	1649
GCA_014109065	GCA_013895455	98.4332	1432	1649
GCA_014109065	GCA_013899205	98.4309	1478	1649
GCA_014109065	GCA_013898935	98.4282	1480	1649
GCA_014109065	GCA_013713325	98.4143	1465	1649
GCA_014109065	GCA_013894775	98.4115	1473	1649
GCA_014109065	GCA_013712565	98.4026	1467	1649
GCA_014109065	GCA_013752295	98.3893	1465	1649
GCA_014109065	GCA_013783465	98.3701	1432	1649
