NodeID	SeqLength	Jaccard_Cont_WiRv	Jaccard_Cont_WiIS6110	Jaccard_Cont_WiRv_InsSeqAndPhages	IsSVNode	BubbleID
s1	1533	1.0	0.0	0.0	False	None
s2	58	1.0	0.0	0.0	False	None
s3	56	1.0	0.0	0.0	True	BubbleRegion_2
s4	5	0.0	0.0	0.0	True	BubbleRegion_2
s5	11970	1.0	0.0	0.0	False	None
s6	12847	1.0	0.0	0.0	False	None
s7	1876	1.0	0.0	0.0	True	BubbleRegion_4
s8	542	1.0	0.0	0.0	False	None
s9	5979	1.0	0.0	0.030761472516389308	False	None
s10	4133	1.0	0.0	0.0	False	None
s11	23	0.0	0.0	0.0	False	None
s12	7	0.0	0.0	0.0	True	BubbleRegion_8
s13	24063	1.0	0.0	0.0	False	None
s14	5177	1.0	0.0	0.0	False	None
s15	1480	1.0	0.0	0.0	False	None
s16	904	1.0	0.0	0.0	True	BubbleRegion_11
s17	8172	1.0	0.0	0.0	False	None
s18	732	1.0	0.0	0.0	True	BubbleRegion_12
s19	687	1.0	0.0	0.0	True	BubbleRegion_12
s20	234	1.0	0.0	0.0	True	BubbleRegion_12
s21	2557	1.0	0.0	0.0	True	BubbleRegion_12
s22	1307	1.0	0.0	0.0	True	BubbleRegion_12
s23	450	1.0	0.0	0.0	True	BubbleRegion_12
s24	2836	1.0	0.0	0.0	True	BubbleRegion_12
s25	5408	1.0	0.0	0.0	False	None
s26	120	1.0	0.0	0.0	True	BubbleRegion_13
s27	10633	1.0	0.0	0.004715646515137225	False	None
s28	28162	1.0	0.0	0.047206028721740366	False	None
s29	81	1.0	0.0	0.0	True	BubbleRegion_15
s30	5483	1.0	0.0	0.0	False	None
s31	932	1.0	0.0	0.0	True	BubbleRegion_16
s32	10791	1.0	0.0	0.0	False	None
s33	776	1.0	0.0	0.0	True	BubbleRegion_17
s34	55	1.0	0.0	0.0	True	BubbleRegion_17
s35	185	1.0	0.0	0.0	True	BubbleRegion_17
s36	84	1.0	0.0	0.0	True	BubbleRegion_17
s37	189	1.0	0.0	0.0	True	BubbleRegion_17
s38	363	1.0	0.0	0.0	True	BubbleRegion_17
s39	4	0.0	0.0	0.0	True	BubbleRegion_17
s40	85	1.0	0.0	0.0	True	BubbleRegion_17
s41	3200	1.0	0.0	0.0	False	None
s42	53	1.0	0.0	0.0	True	BubbleRegion_18
s43	17224	1.0	0.0	0.0	False	None
s44	1	0.0	0.0	0.0	True	BubbleRegion_19
s45	285	1.0	0.0	0.0	True	BubbleRegion_19
s46	36	1.0	0.0	0.0	True	BubbleRegion_19
s47	6416	1.0	0.0	0.0	True	BubbleRegion_19
s48	351	1.0	0.0	0.0	True	BubbleRegion_19
s49	440	1.0	0.0	0.0	True	BubbleRegion_19
s50	1534	1.0	0.0	0.0	True	BubbleRegion_19
s51	8910	1.0	0.0	0.0	False	None
s52	17417	1.0	0.0	0.0	False	None
s53	57	1.0	0.0	0.0	True	BubbleRegion_21
s54	9892	1.0	0.0	0.0	False	None
s55	1720	1.0	0.0	0.0	True	BubbleRegion_22
s56	7873	1.0	0.0	0.0	False	None
s57	38366	1.0	0.0	0.0	False	None
s58	863	1.0	0.0	0.0	True	BubbleRegion_24
s59	1039	1.0	0.0	0.0	True	BubbleRegion_24
s60	12859	1.0	0.0	0.0	False	None
s61	75	1.0	0.0	0.0	True	BubbleRegion_25
s62	42074	1.0	0.0	0.0	False	None
s63	376	1.0	0.0	0.0	True	BubbleRegion_26
s64	5279	1.0	0.0	0.0	False	None
s65	338	1.0	0.0	0.0	True	BubbleRegion_27
s66	2704	1.0	0.0	0.0	False	None
s67	3237	1.0	0.0	0.0	False	None
s68	85	1.0	0.0	0.0	True	BubbleRegion_29
s69	190	1.0	0.0	0.0	False	None
s70	186	1.0	0.0	0.0	True	BubbleRegion_30
s71	184	1.0	0.0	0.0	False	None
s72	161	1.0	0.0	0.0	True	BubbleRegion_31
s73	237	1.0	0.0	0.0	True	BubbleRegion_31
s74	6	0.0	0.0	0.0	True	BubbleRegion_31
s75	63	1.0	0.0	0.0	True	BubbleRegion_31
s76	55	1.0	0.0	0.0	True	BubbleRegion_31
s77	607	1.0	0.0	0.0	True	BubbleRegion_31
s78	96	1.0	0.0	0.0	True	BubbleRegion_31
s79	18	0.0	0.0	0.0	True	BubbleRegion_31
s80	28	0.0	0.0	0.0	True	BubbleRegion_31
s81	8	0.0	0.0	0.0	True	BubbleRegion_31
s82	15	0.0	0.0	0.0	True	BubbleRegion_31
s83	111	1.0	0.0	0.0	True	BubbleRegion_31
s84	37	1.0	0.0	0.0	True	BubbleRegion_31
s85	5	0.0	0.0	0.0	True	BubbleRegion_31
s86	9	0.0	0.0	0.0	True	BubbleRegion_31
s87	82	1.0	0.0	0.0	True	BubbleRegion_31
s88	47	1.0	0.0	0.0	True	BubbleRegion_31
s89	9	0.0	0.0	0.0	True	BubbleRegion_31
s90	808	1.0	0.0	0.0	True	BubbleRegion_31
s91	261	1.0	0.0	0.0	True	BubbleRegion_31
s92	20	0.0	0.0	0.0	True	BubbleRegion_31
s93	54	1.0	0.0	0.0	True	BubbleRegion_31
s94	355	1.0	0.0	0.0	True	BubbleRegion_31
s95	456	1.0	0.0	0.0	True	BubbleRegion_31
s96	21	0.0	0.0	0.0	True	BubbleRegion_31
s97	51	1.0	0.0	0.0	True	BubbleRegion_31
s98	310	1.0	0.0	0.0	True	BubbleRegion_31
s99	133	1.0	0.0	0.0	True	BubbleRegion_31
s100	78	1.0	0.0	0.0	True	BubbleRegion_31
s101	57	1.0	0.0	0.0	True	BubbleRegion_31
