Number_SVNodes	TotalLength	SeqLength_UnqToRv	SeqLength_UnqToGraph	Overlap_Genes	NA
108.0	53885	7500.0	7047.0	Rv1754c,plcD,Rv1756c,Rv1757c,cut1,wag22,Rv1760,Rv1761c,Rv1762c,Rv1763,Rv1764,Rv1765c,Rv1765A	42
13.0	8232	5518.0	4482.0	Rv2023A,Rv2024c	6
25.0	29094	4496.0	14629.0	yrbE3A,yrbE3B,mce3A,mce3B,mce3C,mce3D,lprM,mce3F,Rv1972,Rv1973,Rv1974,Rv1975,Rv1976c,Rv1977,Rv1978,Rv1979c	13
53.0	29317	4495.0	4207.0	moaX,moaC3,Rv3324A,Rv3325,Rv3326,Rv3327	30
2.0	4541	4399.0	4399.0	Rv0943c,Rv0944	2
70.0	12630	3211.0	1608.0	PE_PGRS3,PE_PGRS4	38
3.0	3511	2153.0	2153.0	mmpL6	3
48.0	67323	1697.0	2283.0	fadD14,Rv1059,Rv1060,Rv1061,Rv1062,Rv1063c,lpqV,Rv1065,Rv1066,PE_PGRS19,PE_PGRS20,Rv1069c,echA8,echA9,Rv1072,Rv1073,fadA3,Rv1075c,lipU,cbs,pra,metB,greA,Rv1081c,mca,Rv1083,Rv1084,Rv1085c,Rv1086,PE_PGRS21,Rv1087A,PE9,PE10	25
6.0	5517	1642.0	1642.0	PPE53	4
2.0	2725	1406.0	2725.0	ctaD	2
22.0	11289	1342.0	2844.0	PPE54	11
13.0	1859	1310.0	1807.0	PPE50	8
2.0	2470	1243.0	2470.0	ilvX	2
224.0	135873	1232.0	3999.0	Rv2807,Rv2808,Rv2809,Rv2810c,Rv2811,Rv2812,Rv2813,Rv2814c,Rv2815c,Rv2816c,Rv2817c,Rv2818c,Rv2819c,Rv2820c,Rv2821c,Rv2822c,Rv2823c,Rv2824c,Rv2825c,Rv2826c,Rv2827c,Rv2828c,Rv2828A,vapC22,vapB22,echA16,ugpC,ugpB,ugpE,ugpA,dinF,Rv2837c,rbfA,infB,Rv2840c,nusA,Rv2842c,Rv2843,Rv2844,proS,efpA,cysG,cobB,cobO	73
4.0	3722	1153.0	2364.0	cyp141	3
2.0	2441	1130.0	2441.0	ppsB	2
4.0	2210	1095.0	2152.0	Rv0823c,desA1	3
2.0	2074	1001.0	2074.0	umaA,pcaA	2
2.0	1962	940.0	1962.0	Rv2310,Rv2311,Rv2312	2
2.0	1683	934.0	1683.0	trpA,lgt	2
8.0	3389	876.0	303.0	Rv1319c	5
2.0	1599	835.0	1599.0	Rv3647c,cspA	2
2.0	1703	829.0	1703.0	Rv0584	2
2.0	1682	826.0	826.0	esxL,Rv1199c	2
2.0	1569	821.0	1569.0	fadD30	2
4.0	1775	776.0	1775.0	pks15,fadD22	3
2.0	1438	766.0	1438.0	Rv2689c	2
4.0	1639	754.0	754.0	mazE7,mazF7,cobG	3
2.0	1328	738.0	590.0	Rv3575c,lppH	2
2.0	1377	712.0	1377.0	hisH,hisA	2
74.0	26358	711.0	5142.0	PE_PGRS49,PE_PGRS50,Rv3346c,PPE55,Rv3348,Rv3349c,PPE56	37
2.0	1381	700.0	1381.0	Rv0968,ctpV	2
6.0	7884	681.0	1499.0	PE_PGRS35,cfp21,Rv1985c,Rv1986,Rv1987,erm(37)	4
40.0	8803	660.0	1471.0	PE_PGRS9,PE_PGRS10	19
2.0	1263	643.0	1263.0	Rv3480c	2
2.0	1172	598.0	1172.0	nanT,Rv1903	2
2.0	1057	579.0	1057.0	Rv1393c,cyp132	2
2.0	1094	537.0	1094.0	Rv3335c,trpS	2
1.0	533	533.0	533.0		2
23.0	10577	506.0	579.0	PE27A,esxR,esxS,PPE47,PPE48,PE29	11
12.0	11065	490.0	4894.0	Rv3424c,PPE57,PPE58,Rv3427c,Rv3428c	7
87.0	55759	447.0	4697.0	plcC,plcB,plcA,PPE38,PPE39,Rv2354,Rv2355,PPE40	40
5.0	2547	419.0	419.0	Rv3113	4
10.0	2104	363.0	1737.0	PE_PGRS2	6
128.0	42531	295.0	1738.0	PPE34,PPE35	77
4.0	2925	265.0	0.0	Rv2082	3
4.0	500	250.0	0.0	Rv2082	3
10.0	3877	241.0	88.0	PE_PGRS28	6
11.0	15062	236.0	2531.0	Rv0145,Rv0146,Rv0147,Rv0148,Rv0149,Rv0150c,PE1,PE2	6
20.0	3048	211.0	0.0	PE_PGRS54	19
8.0	1237	207.0	66.0	PE_PGRS54	6
28.0	2041	168.0	149.0	PE_PGRS54	8
27.0	2151	134.0	755.0	PE_PGRS56	15
3.0	357	127.0	0.0	PE_PGRS18	2
1.0	126	126.0	126.0	PE_PGRS61	2
4.0	283	102.0	0.0	PE_PGRS17	3
1.0	90	90.0	90.0	lppD	2
8.0	2289	81.0	1222.0	PE_PGRS53	5
1.0	78	78.0	78.0	PE_PGRS52	2
1.0	68	68.0	68.0		2
1.0	68	68.0	68.0		2
12.0	1203	67.0	67.0	PE_PGRS55	9
115.0	14009	48.0	82.0	fadD18,PE_PGRS57,fadD19	53
21.0	9551	31.0	99.0	Rv3183,Rv3184,Rv3185,Rv3186,Rv3187	11
5.0	3097	31.0	31.0	Rv2282c	4
3.0	10982	0.0	9624.0	valU,Rv2645,Rv2646,Rv2647,Rv2648,Rv2649,Rv2650c,Rv2651c,Rv2652c,Rv2653c,Rv2654c,Rv2655c,Rv2656c,Rv2657c,Rv2658c,Rv2659c,Rv2660c	3
10.0	11784	0.0	8569.0	glyA2,Rv0071,Rv0072,Rv0073,Rv0074,Rv0075,Rv0076c,Rv0077c,Rv0078,Rv0078A	6
6.0	8215	0.0	8205.0	nrdZ,Rv0571c,Rv0572c,pncB2,Rv0574c,Rv0575c,Rv0576,TB27.3	4
1.0	7546	0.0	7546.0	Rv2481c,plsB2,plsC,Rv2484c,lipQ	2
14.0	8989	0.0	5839.0	pks9,pks11,cyp139,Rv1667c,Rv1668c	10
3.0	5225	0.0	5225.0	TB31.7,Rv2624c,Rv2625c,hrp1,Rv2627c,Rv2628	3
3.0	6479	0.0	5121.0	lppN,Rv2271,Rv2272,Rv2273,mazF8,mazE8,Rv2275,cyp121,Rv2277c,Rv2278,Rv2279,Rv2280	3
3.0	6111	0.0	4752.0	Rv1353c,Rv1354c,moeY,Rv1356c	3
1.0	4425	0.0	4425.0	PPE6,Rv0306,Rv0307c,Rv0308	2
1.0	4367	0.0	4367.0	pks2	2
8.0	18373	0.0	4228.0	pks7,pks8,pks17	5
14.0	15298	0.0	3805.0	mmpL12,Rv1523,Rv1524,wbbL2,Rv1526c	8
3.0	3557	0.0	3557.0	ctpG,Rv1993c,cmtR,Rv1995,Rv1996	3
1.0	3521	0.0	3521.0	Rv2059,Rv2060,Rv2061c,cobN	2
3.0	3394	0.0	3339.0	Rv0839,pip,Rv0841,Rv0842	3
3.0	4543	0.0	3185.0	PE_PGRS29,ctpD,trxA,trxB1	3
2.0	2913	0.0	2902.0	Rv3083,lipR,Rv3085	2
1.0	2830	0.0	2830.0	cysK2,Rv0849,Rv0850,Rv0851c	2
5.0	7507	0.0	2664.0	PPE56	4
1.0	2606	0.0	2606.0	Rv0376c,Rv0377,Rv0378	2
1.0	2405	0.0	2405.0	Rv0567,cyp135B1,Rv0569,nrdZ	2
6.0	6459	0.0	2386.0	Rv2016,Rv2017,Rv2018,Rv2019	4
1.0	2358	0.0	2358.0	Rv1251c	2
6.0	5770	0.0	2307.0	lpqQ,Rv0836c,Rv0837c	4
1.0	2274	0.0	2274.0	PPE37,metH	2
4.0	2272	0.0	2271.0	Rv2766c,Rv2767c,PPE43	3
1.0	2249	0.0	2249.0	Rv0386,Rv0387c,PPE9	2
6.0	6800	0.0	2237.0	Rv1358	4
5.0	5028	0.0	2200.0	Rv3636,Rv3637,Rv3638	4
3.0	2172	0.0	2172.0	Rv1333,mec,cysO,cysM	3
3.0	3435	0.0	2077.0	PPE30,PE_PGRS32	3
1.0	2045	0.0	2045.0	eccC4	2
