NodeID,SeqLength,N_Asms,N_Occurrences,Jaccard_Cont_WiRv,Jaccard_Cont_WiIS6110,Jaccard_Cont_WiRv_InsSeqAndPhages,IsSVNode,MaxJC_ToOtherNode
JISCTWOKQZ,9501,152,152,0.993453700770774,0.0,0.0,False,0.0
IKRXJRHUBC,644,17,17,0.0,0.0,0.0,True,0.08469055374592833
MHUQRHINBO,1095,1,1,0.0,0.0,0.0,True,0.0
MOJKXXEYYU,3213,152,152,1.0,0.0,0.0,False,0.0
NUDZDLFHWL,6639,152,152,0.9953094265395672,0.0,0.0,False,0.00045392646391284613
DQPBYTWFML,231,151,151,1.0,0.0,0.0,True,0.0
LNLFURIOLY,214,151,151,1.0,0.0,0.0,True,0.0
MGTXQJLAYO,103,0,0,1.0,0.0,0.0,True,0.0
TLRRWLAPIV,126,0,0,0.0,0.0,0.0,True,0.0
EQRZQSAALA,12667,152,152,0.9950937722560734,0.0,0.0,False,0.0
CFUISXYUKZ,1381,150,150,1.0,0.0,0.0,True,0.0
CVXQRPVNMA,1773,140,140,0.9822145725760184,0.0,0.0,True,0.0
BAOPQJGNJK,117,0,0,0.6551724137931034,0.0,0.0,True,0.20689655172413793
DYVRNTNBOQ,161,0,0,1.0,0.0,0.0,True,0.015267175572519083
ASJDMNIJSC,186,0,0,1.0,0.0,0.0,True,0.0
EZSPDPKCUF,1670,152,152,1.0,0.0,0.0,False,0.0
DIMIBURKVM,141,0,0,0.7207207207207207,0.0,0.0,True,0.0
XUSRPBWQKA,1808,141,141,1.0,0.0,0.0,True,0.0
FDBPMMUSTY,358,152,152,1.0,0.0,0.0,False,0.0
KFIKQXHVQO,100,0,0,1.0,0.0,0.0,True,0.0
LZHBAJWFYZ,180,0,0,1.0,0.0,0.0,True,0.0
XDCVRXDVPW,29288,152,152,0.9968213821860687,0.0,0.0,False,0.0
WKLMXARJKL,202,2,2,0.11627906976744186,0.0,0.0,True,0.0
AOOFZQXBYS,694,152,152,1.0,0.0,0.0,False,0.0
KZQGCGASJP,247,150,150,0.8433179723502304,0.0,0.0,True,0.0
TCLVTZMMBN,5424,152,152,1.0,0.0,0.0,False,0.0005561735261401557
FFVAAJCBMM,2572,152,152,0.9878048780487805,0.0,0.0,False,0.0
PWHCVVWXKM,193,0,0,1.0,0.0,0.0,True,0.2822085889570552
QTJCNLQPHW,61646,152,152,0.9947567488596335,0.0,0.0,False,0.0
XZGRVJKDLX,411,151,151,1.0,0.0,0.4881889763779528,True,0.0
YBQFKZCSMD,37818,152,152,0.9967185349846512,0.0,0.05250344024558061,False,0.0001852439928019477
DPHXDLMWGM,4367,151,151,0.9928522019829376,0.0,0.0,True,0.0
HJMEYTCXFF,749,151,151,1.0,0.0,0.0,True,0.0
UBLHLQXUGC,459,152,152,1.0,0.0,0.0,False,0.0
UJDZKDNLZR,765,151,151,0.9578231292517007,0.0,0.0,True,0.0
ZFHNVROWCA,360,152,152,1.0,0.0,0.0,False,0.0
QRGPCYKDUJ,533,140,140,0.0,0.0,0.0,True,0.0
NXQVHQTKAG,1326,152,152,1.0,0.0,0.0,False,0.0
CCESYIXYPM,282,152,152,1.0,0.0,0.0,False,0.0
EHGTPJYQMV,1813,152,152,1.0,0.0,0.0,False,0.0
ZWAUEOCBVZ,1130,1,1,0.0,0.0,0.0,True,0.0
OAUJWNULEF,212,150,150,1.0,0.0,0.0,True,0.0
XWHFFTQZFY,153,0,0,0.8211382113821138,0.0,0.0,True,0.0
CYHTWPWZLS,137,0,0,1.0,0.0,0.0,True,0.0
IBYLHDRKWU,189,0,0,1.0,0.0,0.0,True,0.0
OHATDAYUXE,6890,152,152,0.9869730679156908,0.0,0.0,False,0.00702576112412178
FZVOFCSMLS,326,152,152,1.0,0.0,0.0,False,0.0
QLRYYMDIUZ,919,137,137,1.0,0.0,0.0,True,0.05511811023622047
DFGLSPIEWL,105,0,0,1.0,0.0,0.0,True,0.0
VISPCGVFUV,12411,152,152,1.0,0.0,0.0,False,0.00040404040404040404
HRJBBUZOWI,507,117,117,1.0,0.0,0.9182389937106918,True,0.0
PZVQAAUCLT,540,152,152,1.0,0.0,0.0,False,0.0
LVVWMVBBKG,265,149,149,1.0,0.0,0.0,True,0.0
GIMVGSWBVF,15065,152,152,1.0,0.0,0.0,False,0.0
IAYZWIUAYG,764,151,151,1.0,0.0,0.0,True,0.0
MVUNHZCGNH,145,0,0,1.0,0.0,0.0,True,0.0
CYWLCGXORS,102,0,0,1.0,0.0,0.0,True,0.8472222222222222
YTHSJRHBGG,108,0,0,1.0,0.0,0.0,True,0.0
JNVZACLWIO,156,0,0,1.0,0.0,0.0,True,0.0
QLUVYDSHBG,41526,152,152,0.9958066226442377,0.0,0.0,False,0.00016869908902491926
NAKMZZLVYV,172,0,0,1.0,0.0,0.0,True,0.0
KVKXUZFIKG,6730,152,152,0.9907462686567164,0.0,0.0,False,0.0
SUWMFNHTOK,214,151,151,1.0,0.0,0.0,True,0.0
MOJPHVMWDL,35695,152,152,0.9973924015140895,0.0,0.0,False,0.0
SFPELNJEWL,470,152,152,1.0,0.0,0.0,False,0.0
PBHUWVJUNO,244,151,151,1.0,0.0,0.0,True,0.0
BJWXDMBGNQ,365,152,152,1.0,0.0,0.0,False,0.0
UNHWPOFFCA,159,0,0,1.0,0.0,0.0,True,0.0
QQQAZJUCHB,108,0,0,0.859375,0.0,0.0,True,0.0625
NARUBTXBEN,598,1,1,0.0,0.0,0.0,True,0.0
AXQULMCVCU,3185,152,152,1.0,0.0,0.0,False,0.0
XDKNKTVKGL,151,0,0,0.12173913043478261,0.0,0.0,True,0.09565217391304348
PWICCIKGYZ,3225,152,152,1.0,0.0,0.0,False,0.0
IFEQHACAIE,8656,152,152,0.9964062137723163,0.0,0.0,False,0.0
