Query	Ref	ANI	Bidirect_FragMap	Total_Query_Frags
C100	C100	100.0	925	928
C100	C121	99.9995	922	928
C100	C9	99.9338	894	928
C100	C21	99.9138	903	928
C100	C195	99.8888	890	928
C100	C353	99.8876	900	928
C100	C206	99.8817	894	928
C100	C67	99.8761	907	928
C100	C294	99.8716	905	928
C100	C208	99.8479	906	928
C100	C314	99.8455	911	928
C100	C80	99.8441	907	928
C100	C72	99.8316	902	928
C100	C351	99.8313	903	928
C100	C136	99.8301	907	928
C100	C91	99.8297	907	928
C100	C311	97.887	869	928
C100	C276	97.8526	870	928
C100	C324	97.8503	868	928
C100	C265	97.8503	868	928
C100	C357	97.8438	878	928
C100	C183	97.8318	872	928
C100	C273	97.8096	872	928
C100	C52	97.7946	871	928
C100	C113	97.7945	871	928
C100	C76	97.7788	884	928
C100	C13	97.774	885	928
C100	C318	97.7684	870	928
C100	C16	97.6556	861	928
C100	C245	97.5545	869	928
C100	C24	97.5421	861	928
C100	C45	97.5241	875	928
C100	C312	97.5234	871	928
C100	C70	97.5207	891	928
C100	C32	97.5196	854	928
C100	C149	97.5192	875	928
C100	C56	97.5088	858	928
C100	C333	97.5044	868	928
C100	C295	97.5011	865	928
C100	C222	97.4922	862	928
C100	C233	97.4904	872	928
C100	C3	97.49	855	928
C100	C22	97.4849	865	928
C100	C235	97.468	871	928
C100	C355	97.4582	871	928
C100	C320	97.456	866	928
C100	C240	97.4547	855	928
C100	C364	97.4442	840	928
C100	C188	97.444	840	928
C100	C155	97.433	844	928
C100	C196	97.4204	879	928
C100	C285	97.4178	874	928
C100	C182	97.41	863	928
C100	C133	97.4071	869	928
C100	C179	97.4068	869	928
C100	C363	97.4008	878	928
C100	C79	97.399	868	928
C100	C209	97.3906	867	928
C100	C241	97.3891	866	928
C100	C224	97.3828	878	928
C100	C197	97.3825	873	928
C100	C309	97.3751	860	928
C100	C349	97.3716	879	928
C100	C339	97.3635	877	928
C100	C255	97.3362	843	928
C100	C342	97.3341	868	928
C100	C148	97.3233	867	928
C100	C325	97.2836	857	928
C364	C364	100.0	905	907
C364	C188	99.9995	905	907
C364	C255	99.9675	895	907
C364	C155	99.9503	890	907
C364	C325	99.8262	893	907
C364	C339	99.1057	865	907
C364	C209	99.094	871	907
C364	C233	99.0925	858	907
C364	C45	99.0707	858	907
C364	C133	99.0699	869	907
C364	C179	99.0695	869	907
C364	C149	99.063	859	907
C364	C355	99.0571	872	907
C364	C182	99.0496	868	907
C364	C342	99.0436	877	907
C364	C196	99.0432	871	907
C364	C235	99.0343	868	907
C364	C197	99.0219	873	907
C364	C241	99.0128	876	907
C364	C309	99.0118	875	907
