SampleID	numContigs_Complete	circContig_Length	circContig_Cov	Flye_EstimatedCov	Flye_ReadLen_N50	Flye_ReadLen_N90	Lineage_ONTAsm	Lineage_ONTAsm_WiPilonPolish	FlyeI3_dnaA_Found	FlyeI3M_dnaA_Found	FlyeI3MPP_dnaA_Found	IlluminaCov_To_ONTAsm	NumChanges_PilonPolished	NumSNPs_PilonPolished	NumTotalInsertions_PilonPolished	Num1bpInsertion_PilonPolished	Num2bpInsertion_PilonPolished	NumTotalDeletions_PilonPolished	Num1bpDeletion_PilonPolished	NumChanges_PolyPolished	PrimaryLineage_ONTAsm_WiPilonPolish	Dataset_Tag
18_0621851	1	4418302	83	85	2322	714	lineage2.2.1	lineage2.2.1	False	True	True	49	564	30	5	5	0	529	494	19	lineage2	Hall2022
R15311	1	4420213	150	150	6102	1678	lineage4.3.2.1	lineage4.3.2.1	False	True	True	46	386	3	12	12	0	371	350	1	lineage4	Hall2022
R18040	1	4412684	56	57	7951	2440	lineage2.2.2	lineage2.2.2	False	True	True	42	487	6	8	8	0	473	448	2	lineage2	Hall2022
R18043	1	4412095	151	150	7087	1957	lineage2.2.2	lineage2.2.2	False	True	True	46	326	3	6	6	0	317	293	1	lineage2	Hall2022
R20260	1	4418747	41	41	6896	1590	lineage2.2.2	lineage2.2.2	False	True	True	36	589	7	3	3	0	579	543	11	lineage2	Hall2022
R20574	1	4417355	150	150	5875	1069	lineage2.2.2	lineage2.2.2	False	True	True	54	466	2	6	6	0	458	421	6	lineage2	Hall2022
R20896	1	4420528	150	150	6570	2037	lineage4.1.1.3	lineage4.1.1.3	False	True	True	191	398	1	7	7	0	390	363	13	lineage4	Hall2022
R21363	1	4414404	150	150	5541	1105	lineage4.1.1.3	lineage4.1.1.3	False	True	True	43	410	3	6	5	1	401	380	2	lineage4	Hall2022
R21408	1	4416795	55	56	5274	1163	lineage2.2.2	lineage2.2.2	False	True	True	22	470	2	12	11	1	456	435	4	lineage2	Hall2022
R21770	1	4421114	113	113	8546	2257	lineage4.1.1.3	lineage4.1.1.3	False	True	True	78	368	7	3	3	0	358	339	14	lineage4	Hall2022
R21839	1	4410831	150	150	5533	1302	lineage4.1.1.3	lineage4.1.1.3	False	True	True	189	449	3	3	3	0	443	404	10	lineage4	Hall2022
R21893	1	4422802	37	37	7391	2309	lineage2.2.2	lineage2.2.2	False	True	True	39	518	8	6	6	0	504	484	3	lineage2	Hall2022
R22601	1	4412665	150	150	8176	2276	lineage2.2.2	lineage2.2.2	False	True	True	43	378	2	3	2	1	373	343	4	lineage2	Hall2022
R23146	1	4414818	149	150	4110	1020	lineage2.2.2	lineage2.2.2	False	True	True	43	471	3	3	3	0	465	444	5	lineage2	Hall2022
R23571	1	4411756	125	125	6947	1777	lineage4.8	lineage4.8	False	True	True	107	449	5	5	5	0	439	414	17	lineage4	Hall2022
R23887	1	4428078	149	150	4523	1212	lineage1.2.2	lineage1.2.2	False	True	True	174	460	1	4	4	0	455	434	16	lineage1	Hall2022
R24100	1	4424403	150	150	8270	2301	lineage2.2.1.1	lineage2.2.1.1	False	True	True	40	346	6	12	12	0	328	307	3	lineage2	Hall2022
R24120	1	4434165	97	98	7048	2291	lineage2.2.1	lineage2.2.1	False	True	True	47	344	2	3	3	0	339	316	2	lineage2	Hall2022
R25048	1	4428031	145	150	5898	1007	lineage2.2.1	lineage2.2.1	False	True	True	40	414	12	1	1	0	401	377	21	lineage2	Hall2022
R26778	1	4414761	84	84	8510	2632	lineage2.2.2	lineage2.2.2	False	True	True	47	376	3	3	3	0	370	338	3	lineage2	Hall2022
R26791	1	4415168	124	124	6980	2175	lineage2.2.2	lineage2.2.2	False	True	True	113	354	1	8	8	0	345	325	6	lineage2	Hall2022
R27252	1	4440648	149	150	5431	1495	lineage1.2.2	lineage1.2.2	False	True	True	121	421	3	10	10	0	408	388	6	lineage1	Hall2022
R27657	1	4435021	149	150	4656	891	lineage2.2.1	lineage2.2.1	False	True	True	48	506	7	4	2	2	495	454	1	lineage2	Hall2022
R27725	1	4417236	150	150	6993	1684	lineage2.2.2	lineage2.2.2	False	True	True	34	387	3	2	2	0	382	352	15	lineage2	Hall2022
R27937	1	4412828	102	101	9858	3121	lineage2.2.2	lineage2.2.2	False	True	True	215	342	2	2	2	0	338	317	8	lineage2	Hall2022
R28012	1	4435100	109	109	6819	2028	lineage2.2.1	lineage2.2.1	False	True	True	41	435	5	6	5	1	424	392	2	lineage2	Hall2022
R28581	1	4428331	66	67	6369	2412	lineage2.2.1.1	lineage2.2.1.1	False	True	True	40	394	3	8	8	0	383	360	4	lineage2	Hall2022
R28703	1	4435254	149	150	6241	1430	lineage2.2.1	lineage2.2.1	False	True	True	88	369	1	4	4	0	364	344	5	lineage2	Hall2022
R28980	1	4415183	150	150	6992	1318	lineage2.2.2	lineage2.2.2	False	True	True	118	482	1	6	6	0	475	443	8	lineage2	Hall2022
R29598	1	4423805	43	44	6458	1899	lineage2.2.1.1	lineage2.2.1.1	False	True	True	95	591	3	11	11	0	577	542	10	lineage2	Hall2022
R29816	1	4434496	95	95	9358	3092	lineage2.2.1	lineage2.2.1	False	True	True	36	345	4	4	4	0	337	324	4	lineage2	Hall2022
R30078	1	4434756	75	76	4254	1417	lineage2.2.1	lineage2.2.1	False	True	True	48	548	3	11	11	0	534	499	3	lineage2	Hall2022
R30215	1	4435270	148	150	6301	1655	lineage2.2.1	lineage2.2.1	False	True	True	25	375	8	4	4	0	363	328	15	lineage2	Hall2022
R30234	1	4433216	74	74	7331	2137	lineage2.2.1	lineage2.2.1	False	True	True	48	564	7	9	9	0	548	508	4	lineage2	Hall2022
R30396	1	4419810	149	150	5591	1626	lineage4.1.1.3	lineage4.1.1.3	False	True	True	41	429	4	4	4	0	421	390	3	lineage4	Hall2022
R30420	1	4421106	68	68	7622	1833	lineage2.2.2	lineage2.2.2	False	True	True	40	400	5	10	10	0	385	361	4	lineage2	Hall2022
R31095	1	4433259	150	150	5008	1663	lineage2.2.1	lineage2.2.1	False	True	True	40	465	8	5	5	0	452	414	3	lineage2	Hall2022
R32929	1	4420167	54	57	2268	449	lineage2.2.2	lineage2.2.2	False	True	True	37	792	7	9	9	0	776	732	8	lineage2	Hall2022
R36431	1	4434513	56	56	6429	2237	lineage2.2.1	lineage2.2.1	False	True	True	49	442	5	6	6	0	431	397	4	lineage2	Hall2022
R37765	1	4425057	150	150	5846	1985	lineage2.2.1	lineage2.2.1	False	True	True	40	456	5	4	4	0	447	414	1	lineage2	Hall2022
mada_1-1	1	4425892	94	96	3571	684	lineage1.1.2	lineage1.1.2	False	True	True	47	1115	8	25	24	1	1082	1040	6	lineage1	Hall2022
mada_1-10	1	4431642	146	150	1734	582	lineage1.1.2	lineage1.1.2	False	True	True	48	1092	10	22	21	1	1060	1010	9	lineage1	Hall2022
mada_1-11	1	4417400	146	150	1464	468	lineage2.2.1.1	lineage2.2.1.1	False	True	True	48	1007	9	13	12	1	985	924	5	lineage2	Hall2022
mada_1-12	1	4416266	110	113	3535	1183	lineage4.8	lineage4.8	False	True	True	47	921	6	40	39	1	875	848	5	lineage4	Hall2022
mada_1-15	1	4443811	125	126	7195	2146	lineage4.8	lineage4.8	False	True	True	54	332	2	6	6	0	324	311	9	lineage4	Hall2022
mada_1-30	1	4443278	115	116	4622	1360	lineage3.1.1	lineage3.1.1	False	True	True	44	1048	12	29	29	0	1007	966	5	lineage3	Hall2022
mada_1-32	1	4420294	147	150	2130	751	lineage4.1.1.3	lineage4.1.1.3	False	True	True	47	635	4	12	10	2	619	577	4	lineage4	Hall2022
mada_1-36	1	4430553	114	117	2772	990	lineage1.1.2	lineage1.1.2	False	True	True	46	1034	9	19	19	0	1006	972	8	lineage1	Hall2022
mada_1-38	1	4426269	61	64	2330	801	lineage4.9	lineage4.9	False	True	True	54	728	4	10	10	0	714	663	4	lineage4	Hall2022
mada_1-39	1	4429337	146	150	1790	582	lineage1.1.2	lineage1.1.2	False	True	True	48	1103	9	32	28	4	1062	1007	4	lineage1	Hall2022
mada_1-41	1	4431392	144	144	4518	1467	lineage4.1	lineage4.1	False	True	True	45	1007	13	45	41	4	949	911	5	lineage4	Hall2022
mada_1-44	1	4430805	133	134	3990	1518	lineage1.1.2	lineage1.1.2	False	True	True	54	569	4	10	10	0	555	518	2	lineage1	Hall2022
mada_1-50	1	4411731	135	135	6037	2025	lineage4.8	lineage4.8	False	True	True	54	377	0	3	3	0	374	330	2	lineage4	Hall2022
mada_1-51	1	4431797	149	150	5320	2309	lineage1.1.2	lineage1.1.2	False	True	True	48	1062	15	27	26	1	1020	976	7	lineage1	Hall2022
mada_1-53	1	4409252	73	74	5507	1689	lineage4.8	lineage4.8	False	False	True	47	1122	6	26	26	0	1090	1051	7	lineage4	Hall2022
mada_102	1	4419343	149	150	3376	1204	lineage4.1.2	lineage4.1.2	False	True	True	54	423	3	4	4	0	416	376	3	lineage4	Hall2022
mada_103	1	4420665	149	150	6681	2524	lineage4.4.1.1	lineage4.4.1.1	False	True	True	46	1035	9	24	23	1	1002	959	3	lineage4	Hall2022
mada_105	1	4420234	105	105	12073	4190	lineage4.1.2.1	lineage4.1.2.1	False	True	True	44	485	4	10	10	0	471	438	4	lineage4	Hall2022
mada_107	1	4428254	120	122	3677	1785	lineage1.1.2	lineage1.1.2	False	True	True	47	505	7	17	13	1	481	444	11	lineage1	Hall2022
mada_112	1	4425334	149	150	7326	2499	lineage4.4.1.1	lineage4.4.1.1	False	True	True	55	339	2	3	3	0	334	298	1	lineage4	Hall2022
mada_115	1	4423923	104	105	4782	2338	lineage2.2.1	lineage2.2.1	False	True	True	48	503	2	5	4	1	496	451	3	lineage2	Hall2022
mada_117	1	4421895	149	150	4880	2319	lineage1.1.2	lineage1.1.2	False	True	True	48	1067	15	19	18	1	1033	998	6	lineage1	Hall2022
mada_118	1	4431274	148	150	4880	2097	lineage1.1.2	lineage1.1.2	False	True	True	48	1041	7	20	20	0	1014	969	2	lineage1	Hall2022
mada_120	1	4399865	151	150	8927	4109	lineage4.6.2.2	lineage4.6.2.2	False	True	True	48	1063	10	28	26	2	1025	979	6	lineage4	Hall2022
mada_122	1	4432910	118	120	3868	2176	lineage1.1.2	lineage1.1.2	False	True	True	49	434	7	11	7	3	416	394	2	lineage1	Hall2022
mada_123	1	4406211	41	42	2887	1094	lineage4.8	lineage4.8	False	True	True	55	688	8	10	9	1	670	617	3	lineage4	Hall2022
mada_124	1	4422426	150	150	5096	1678	lineage4.4.1.1	lineage4.4.1.1	False	True	True	48	1031	12	18	18	0	1001	965	8	lineage4	Hall2022
mada_126	1	4397147	131	130	5765	2680	lineage4.6.2.2	lineage4.6.2.2	False	True	True	47	455	2	6	6	0	447	406	1	lineage4	Hall2022
mada_128	1	4422614	120	121	9756	4339	lineage4.8	lineage4.8	False	True	True	46	478	1	11	11	0	466	438	3	lineage4	Hall2022
mada_129	1	4427003	110	110	9470	3122	lineage4.1.2.1	lineage4.1.2.1	False	True	True	54	390	4	3	3	0	383	358	1	lineage4	Hall2022
mada_139	1	4422417	133	134	8532	3121	lineage4.1.2.1	lineage4.1.2.1	False	True	True	46	443	3	4	4	0	436	393	4	lineage4	Hall2022
mada_151	1	4417725	125	125	5611	1857	lineage4.1.2.1	lineage4.1.2.1	False	True	True	55	478	3	6	6	0	469	439	1	lineage4	Hall2022
mada_2-1	1	4403964	150	150	2847	884	lineage4.8	lineage4.8	False	True	True	48	925	9	38	37	1	878	844	6	lineage4	Hall2022
mada_2-25	1	4406677	104	107	3062	985	lineage4.4.1.1	lineage4.4.1.1	False	True	True	46	1018	9	34	33	1	975	935	6	lineage4	Hall2022
mada_2-31	1	4427310	33	34	3948	1377	lineage4.1	lineage4.1	False	False	True	45	1510	31	85	80	5	1394	1340	10	lineage4	Hall2022
mada_2-42	1	4425974	150	150	7542	3093	lineage2.2.1	lineage2.2.1	False	True	True	48	1101	13	22	20	2	1066	1012	4	lineage2	Hall2022
mada_2-46	1	4426206	115	116	8551	1997	lineage1.1.2	lineage1.1.2	False	True	True	54	360	1	5	5	0	354	329	0	lineage1	Hall2022
mada_2-53	1	4408341	66	69	2211	730	lineage4.8	lineage4.8	False	True	True	46	916	8	35	32	3	873	837	3	lineage4	Hall2022
